Date,Open,High,Low,Close,Volume
2023-01-03,14.8403,14.9852,14.0856,14.3045,401568453
2023-01-04,14.5564,14.8423,14.2305,14.7383,431637329
2023-01-05,14.4804,14.5534,14.1375,14.2545,389451176
2023-01-06,14.4634,14.9992,14.0236,14.8483,405338233
2023-01-09,15.2728,16.0443,15.1301,15.6166,504597318
2023-01-10,15.4957,15.9504,15.4607,15.8975,384380641
2023-01-11,15.828,16.0163,15.5517,15.9893,353541896
2023-01-12,16.0883,16.6249,15.4807,16.4989,551810134
2023-01-13,16.2662,16.9096,16.1533,16.8867,447612400
2023-01-17,16.8867,17.7151,16.8867,17.6891,511473917
2023-01-18,17.6542,17.8601,17.2695,17.3644,439943316
2023-01-19,17.0235,17.1845,16.7188,16.7528,453261045
2023-01-20,16.9985,17.8431,16.8127,17.8261,565378056
2023-01-23,18.0509,19.231,17.8046,19.179,655639131
2023-01-24,18.8133,19.4809,18.8063,19.251,496565020
2023-01-25,18.8986,19.3559,18.5665,19.3089,449864086
2023-01-26,19.6868,20.1513,19.264,19.7877,489891490
2023-01-27,19.4479,20.613,19.3909,20.3501,542536314
2023-01-30,19.9355,20.1253,19.136,19.148,488966547
2023-01-31,19.1555,19.6728,18.9361,19.5229,498378819
2023-02-01,19.6768,21.1766,19.5968,20.9278,660957446
2023-02-02,20.9848,21.9331,20.685,21.6932,564686233
2023-02-03,20.9848,21.7292,20.7739,21.0846,429678255
2023-02-06,20.7909,21.5543,20.7709,21.0736,452526001
2023-02-07,21.3664,22.2429,21.1346,22.157,664632688
2023-02-08,22.3708,22.8612,21.9921,22.1889,560058289
2023-02-09,22.5895,23.0032,22.104,22.3209,524256828
2023-02-10,21.6742,22.0617,20.7959,21.2495,551137335
2023-02-13,21.5223,22.0321,20.9468,21.7721,475264058
2023-02-14,21.5623,23.032,21.3504,22.9542,675964814
2023-02-15,22.5325,22.8382,22.09,22.7473,421494616
2023-02-16,22.117,22.5335,21.9109,21.9861,412325972
2023-02-17,21.6153,21.7242,20.9598,21.3724,466226509
2023-02-21,20.9848,21.4781,20.603,20.64,410312779
2023-02-22,20.692,21.0886,20.4061,20.739,513557591
2023-02-23,23.423,23.8706,23.0082,23.647,1118808599
2023-02-24,23.2082,23.457,22.9302,23.2691,590144847
2023-02-27,23.653,23.8626,23.437,23.484,453323161
2023-02-28,23.355,23.8077,23.1892,23.1992,456294450
